DISTRICT,SUM_AREA,ORIG_FID,lat,lon
0.000000000000000,63.512172000000000,0,36.030324223699999,-79.299646186600000
1.000000000000000,158.729361000000011,1,36.189974321599998,-79.106907000000007
2.000000000000000,85.753985999999998,2,36.075406751800003,-79.083433588700004
3.000000000000000,79.292839999999998,3,35.936410363000000,-79.203684068499996
4.000000000000000,52.275894000000001,4,35.962859482600003,-79.108135750000002
5.000000000000000,17.746485000000000,5,35.933538202000001,-79.039349031900002
6.000000000000000,2.343783000000000,6,35.907319466200001,-79.063197088600006
7.000000000000000,64.969058000000004,7,35.845507171900003,-79.069891754400004
8.000000000000000,221.019055000000009,8,35.736346731499999,-79.212125789400005
9.000000000000000,58.770530999999998,9,36.199796986199999,-78.884398000000004
10.000000000000000,87.552167999999995,10,36.075499842100001,-78.884554373499995
11.000000000000000,252.784003000000013,11,36.175031968799999,-78.729821500000000
12.000000000000000,72.773926000000003,12,35.963382483899998,-78.705647678600002
13.000000000000000,40.840370999999998,13,35.864860460499997,-78.742144624299996
14.000000000000000,32.215555999999999,14,35.940212199999998,-78.820434004500001
15.000000000000000,50.097161999999997,15,35.925442907399997,-78.937705500000007
16.000000000000000,17.360754000000000,16,36.001076419999997,-78.933349500000006
17.000000000000000,0.595212000000000,17,35.999364299800000,-78.901536405000002
18.000000000000000,71.040520999999998,18,35.789167533499999,-78.941950125000005
19.000000000000000,97.138305000000003,19,35.751400083299998,-78.853020000000001
20.000000000000000,105.259506000000002,20,35.612047104699997,-78.758819625699999
21.000000000000000,106.651649000000006,21,35.627079662800000,-79.032304249999996
22.000000000000000,102.202883000000000,22,35.687370509700003,-78.567903000000001
23.000000000000000,151.192773999999986,23,35.638386457700001,-78.455586728599997
24.000000000000000,46.100608000000001,24,35.818160874299998,-78.335962383699993
25.000000000000000,74.957464000000002,25,35.799698038800003,-78.494445480300001
26.000000000000000,32.945971999999998,26,35.789910060200000,-78.613828249999997
27.000000000000000,0.963820000000000,27,35.780903957800000,-78.638065703400002
28.000000000000000,50.859648999999997,28,35.858725471400000,-78.612491500000004
29.000000000000000,106.004641000000007,29,35.993025669600001,-78.488366939399995
30.000000000000000,49.576078000000003,30,35.884019327300003,-78.400468715299994
31.000000000000000,222.330395000000010,31,35.449112848500000,-78.874092107999999
32.000000000000000,107.353785999999999,32,35.488163458199999,-78.552669499999993
33.000000000000000,137.396053999999992,33,35.710857177699999,-78.262483500000002
34.000000000000000,141.253669000000002,34,35.970959563800001,-78.281325300099994
35.000000000000000,56.725236000000002,35,36.119105898400001,-78.437516535499995
36.000000000000000,240.027801000000011,36,36.334101494099997,-78.971901070800001
37.000000000000000,15.375861000000000,37,35.890371945600002,-78.868871379500007
38.000000000000000,71.035022999999995,38,36.102260760199997,-78.274355034199999
42.000000000000000,185.919631000000010,39,35.534177365799998,-78.285411827100006
43.000000000000000,350.445359999999994,40,35.340118312900003,-78.452533000000003
